gene_id,D1_dNA,D2_dNA,D3_dNA,E1_dNA,E1_dPA,E2_dNA,E2_dPA,E3_dNA,E3_dPA,P1_dNA,P1_dP,P2_dNA,P2_dP,P3_dNA,P3_dP,T1_CD71A,T2_CD71A,T3_CD71A
MSTRG.167|Phf3,6205,6305,5863,6564,5932,7080,5539,6815,5853,5514,4473,5429,2560,4997,4592,4525,5184,5353
MSTRG.168|Gm37522,0,3,0,0,0,3,3,0,0,4,2,0,0,4,0,0,0,2
MSTRG.169|Gm37906,0,3,3,0,1,2,13,3,12,8,2,0,0,6,9,0,5,2
MSTRG.171|Ptp4a1,2547,2685,2863,2701,3423,2496,3381,2925,3880,2932,3370,2760,1953,2984,3211,2344,2142,2737
MSTRG.170|Gm19680,93,100,94,106,193,125,229,145,188,66,76,88,45,69,64,137,124,96
ENSMUSG00000102917|Gm37724,8,8,13,8,5,10,9,6,6,10,7,6,2,9,9,8,6,10
ENSMUSG00000100481|Gm7114,8,11,6,9,6,11,11,7,7,12,3,13,8,6,6,7,9,10
ENSMUSG00000026058|Khdrbs2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000064688|Gm25814,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000103482|Gm37999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000104313|Gm37911,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000102865|Gm9839,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
ENSMUSG00000102321|Gm37792,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000091318|Gm5415,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
ENSMUSG00000089489|Gm24732,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000104498|Gm37110,5,4,5,2,6,2,4,5,5,4,4,5,3,3,4,3,4,6
MSTRG.176|1700001G17Rik,8,14,15,11,9,9,14,10,22,17,11,0,11,5,10,15,7,14
MSTRG.177|Rab23,221,250,206,259,285,221,259,252,325,195,160,172,108,217,193,197,217,232
