"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","SYMBOL","ENTREZID"
"Aldh4a1",1588.85875147489,-0.157377626440209,0.133089827967463,-1.10735454911129,0.268140668493202,0.492618258308025,"Aldh4a1","212647"
"Rad51d",1575.60016965044,-0.157312436465278,0.0772573196135483,-1.906776434934,0.0565495441402921,0.162241053239566,"Rad51d","19364"
"Hspa1a",115.634668206276,-0.157304022519307,0.26240139421073,-0.561369054316112,0.574545975446547,0.776413480333172,"Hspa1a","193740"
"Slc39a10",500.553491545259,-0.157298416004814,0.229685119290638,-0.641305873274387,0.521323974053091,0.735532226939664,"Slc39a10","227059"
"Inpp5b",3719.80891732874,-0.15722213392826,0.0833635027903762,-1.76602624650335,0.0773914456293295,0.204882941669889,"Inpp5b","16330"
"Gm11249",94.4096917805897,0.157176472186573,0.30146782019731,0.488199609796648,0.625408460918774,0.813364184523006,"Gm11249","433715"
"Nr1d2",218.659801980965,-0.157171332229059,0.235432128124548,-0.625111506239295,0.531897876656668,0.743474633925622,"Nr1d2","353187"
"Fam45a.1",62.2653671790282,0.157125051790863,0.767617986339754,0.191664414342871,0.848005082382566,0.949293561687432,"Fam45a",NA
"Herc3",653.4829808785,0.157078283503575,0.158247586271826,0.929418811171848,0.352672082775048,0.584151896266795,"Herc3","73998"
"Id1",943.836595243913,-0.157071924583712,0.175702981126111,-0.83704854431668,0.402565281842027,0.633468781822832,"Id1","15901"
"Eml3",10928.5633460679,0.157059140386515,0.199280558596803,0.737950261791738,0.460544674402761,0.68558017030327,"Eml3","225898"
"Tbck",999.631113435127,-0.15697935757236,0.0927001654503936,-1.58553500803634,0.11284482945197,0.269792627160776,"Tbck","271981"
"Zfp202",126.53713499021,0.156889332898531,0.252301848731939,0.582196815587328,0.560434118067587,0.765872494066283,"Zfp202","80902"
"Gm10651",16.2715735276382,0.156837659834135,0.542736214124818,0.270550694817585,0.786736621652333,0.917720639303197,"Gm10651","100043771"
"Sord",3210.65205985072,-0.1566906808945,0.130829225352681,-1.1212378617932,0.262186627403494,0.485660821158944,"Sord","20322"
"Eif2ak4",1517.16650989602,0.156662293710466,0.107906840903293,1.35915658806012,0.174096974346814,0.366938772747221,"Eif2ak4","27103"
"Slc37a4",1111.04236411324,0.156642688238072,0.131911368430584,1.11167589255387,0.266277528653314,0.490610790228757,"Slc37a4","14385"
"Trmt5",776.81480738957,0.15661432282673,0.162114825327682,0.904385657082127,0.36579094087002,0.596288948311173,"Trmt5","76357"
